"Table S1: Dwarf bunt incidence (%), BLUP and BLUE data over three years in UI Silver x Shaan89150 DH population.  ",,,,,,
Line  Name,DB17,DB18,DB23,Mean,DBBLUP,DBBLUE
UI Silver (Resistant parent),0.40,1.16,0.81,0.79,1.59,0.08
Shaan89150 (Susceptible parent),30.11,39.57,64.51,44.73,42.91,47.36
A12170W-1,10.86,14.24,17.61,14.23,14.50,13.92
A12170W-2,1.82,4.65,23.00,9.82,9.87,9.56
A12170W-3,12.28,22.50,68.14,34.31,32.71,35.68
A12170W-4,1.82,1.16,2.12,1.70,2.42,1.03
A12170W-5,0.40,1.83,6.95,3.06,3.66,2.44
A12170W-6,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-7,0.40,2.37,25.45,9.41,9.40,9.01
A12170W-8,2.77,1.74,4.91,3.14,3.75,2.55
A12170W-9,0.40,1.48,5.72,2.53,3.17,1.89
A12170W-10,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-11,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-12,0.40,2.02,5.07,2.50,3.16,1.88
A12170W-13,0.87,3.98,37.58,14.14,13.73,13.96
A12170W-14,0.87,2.35,47.44,16.89,16.13,16.71
A12170W-15,0.40,4.24,21.10,8.58,8.73,8.24
A12170W-16,0.40,1.16,2.73,1.43,2.17,0.74
A12170W-17,0.40,6.46,32.76,13.20,12.98,13.11
A12170W-18,5.15,8.85,39.04,17.68,17.14,17.87
A12170W-19,83.60,77.13,44.49,68.41,66.10,73.90
A12170W-20,5.15,5.50,11.62,7.42,7.77,7.15
A12170W-21,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-22,7.53,6.16,26.12,13.27,13.07,13.22
A12170W-23,0.40,1.94,1.40,1.25,2.03,0.58
A12170W-24,9.91,5.39,22.29,12.53,12.39,12.44
A12170W-25,4.68,2.12,33.19,13.33,12.94,13.06
A12170W-26,43.19,26.34,34.92,34.82,33.52,36.62
A12170W-27,9.91,4.35,22.88,12.38,12.21,12.23
A12170W-28,0.40,2.10,1.28,1.26,2.05,0.61
A12170W-29,0.40,1.16,1.65,1.07,1.85,0.37
A12170W-30,7.53,5.89,54.93,22.78,21.62,23.00
A12170W-31,0.40,1.38,6.51,2.76,3.37,2.12
A12170W-32,0.40,1.76,1.01,1.06,1.86,0.38
A12170W-33,0.40,1.16,0.95,0.84,1.64,0.13
A12170W-34,2.77,1.16,2.07,2.00,2.70,1.35
A12170W-35,1.35,1.45,6.94,3.24,3.82,2.63
A12170W-36,43.19,56.64,44.68,48.17,46.79,51.80
A12170W-37,0.40,1.51,2.24,1.38,2.14,0.70
A12170W-38,1.11,1.51,2.05,1.55,2.30,0.89
A12170W-39,2.77,2.36,17.07,7.40,7.61,6.96
A12170W-40,12.28,8.63,75.48,32.13,30.17,32.79
A12170W-41,12.28,10.06,17.91,13.42,13.40,13.59
A12170W-42,0.40,1.33,5.98,2.57,3.20,1.92
A12170W-43,5.15,8.16,21.91,11.74,11.77,11.72
A12170W-44,85.97,20.90,65.19,57.36,53.85,59.88
A12170W-45,0.40,1.93,6.08,2.80,3.43,2.19
A12170W-46,0.40,1.51,0.58,0.83,1.64,0.13
A12170W-47,0.64,1.16,3.46,1.75,2.46,1.07
A12170W-48,9.91,2.32,3.83,5.35,5.81,4.90
A12170W-49,0.40,1.16,0.58,0.71,1.52,0.00
A12170W-50,0.40,1.68,17.08,6.38,6.65,5.86
A12170W-51,0.40,1.38,10.92,4.23,4.70,3.63
A12170W-52,5.15,2.02,6.78,4.65,5.13,4.13
A12170W-53,7.05,4.07,24.31,11.81,11.67,11.61
A12170W-54,6.10,12.60,56.38,25.03,23.91,25.62
A12170W-55,7.05,5.87,41.02,17.98,17.30,18.05
A12170W-56,0.40,1.68,0.58,0.88,1.70,0.20
A12170W-57,9.91,18.92,38.25,22.36,21.79,23.19
